id,soilmoisture,temperature,airhumidity,lightlevel,waterlevel,irrigationamount,timestamp,clientid
187,18,22,61,1,0,0,2024-04-07 15:53:33.499519,SmartPlanter1
190,18,25.8,49,1,0,11388,2024-04-07 16:00:41.506629,SmartPlanter1
194,17,26.3,49,42,0,5376,2024-04-07 16:24:30.596857,SmartPlanter1
197,17,26.7,47,78,0,5376,2024-04-07 16:39:24.023938,SmartPlanter1
200,10,10,10,10,0,0,2024-04-07 16:57:12.869525,SmartPlanter1
203,16,28.1,38,77,0,0,2024-04-07 17:05:42.336177,SmartPlanter1
206,16,28.4,36,74,0,0,2024-04-07 17:11:29.845367,SmartPlanter1
209,17,26.1,49,30,0,5376,2024-04-07 15:57:13.376289,SmartPlanter1
211,17,26,48,33,0,0,2024-04-07 15:57:13.351899,SmartPlanter1
213,17,25.9,49,21,0,5364,2024-04-07 15:57:13.34379,SmartPlanter1
215,18,25.4,50,1,0,11375,2024-04-07 15:57:13.343791,SmartPlanter1
218,10,10,10,10,0,0,2024-04-07 15:57:14.310408,SmartPlanter1
220,16,28.1,38,77,0,0,2024-04-07 15:57:14.317823,SmartPlanter1
222,16,26.9,42,71,0,0,2024-04-07 15:57:14.363733,SmartPlanter1
224,16,28.2,38,77,0,0,2024-04-07 15:57:14.310419,SmartPlanter1
227,16,26.9,42,71,0,0,2024-04-07 15:57:29.370839,SmartPlanter1
229,16,26.9,42,71,0,0,2024-04-07 17:58:31.457631,SmartPlanter1
230,16,26.9,42,71,0,0,2024-04-07 17:58:53.463166,SmartPlanter1
231,16,26.9,42,71,0,0,2024-04-07 17:59:30.2481,SmartPlanter1
238,16,26.9,42,71,0,0,2024-04-07 18:00:58.387035,SmartPlanter1
239,16,26.9,42,71,0,0,2024-04-07 18:00:59.397182,SmartPlanter1
240,16,26.9,42,71,0,0,2024-04-07 18:01:00.391931,SmartPlanter1
241,16,26.9,42,71,0,0,2024-04-07 18:01:01.425446,SmartPlanter1
242,16,26.9,42,71,0,0,2024-04-07 18:01:55.919917,SmartPlanter1
243,16,26.9,42,71,0,0,2024-04-07 18:10:20.349427,SmartPlanter1
244,16,26.9,42,71,0,0,2024-04-07 18:11:41.476733,SmartPlanter1
245,16,27,41,8,0,0,2024-04-07 18:14:49.779031,SmartPlanter1
246,16,27.1,42,7,0,0,2024-04-07 18:15:36.763474,SmartPlanter1
247,16,26.9,42,71,0,0,2024-04-07 18:16:34.271556,SmartPlanter1
248,17,25.1,49,5,0,2586,2024-04-07 18:28:50.630503,SmartPlanter1
249,16,26.1,45,4,0,0,2024-04-07 18:30:22.756633,SmartPlanter1
250,17,26.8,42,4,0,0,2024-04-07 18:40:56.599764,SmartPlanter1
251,17,26.9,42,4,0,0,2024-04-07 18:43:36.149419,SmartPlanter1
252,16,26.8,42,3,0,0,2024-04-07 18:47:00.805327,SmartPlanter1
253,16,27.1,42,3,0,0,2024-04-07 18:49:06.146433,SmartPlanter1
254,17,26.8,41,2,0,0,2024-04-07 18:53:11.802592,SmartPlanter1
255,16,23.7,47,2,0,0,2024-04-07 19:00:44.050232,SmartPlanter1
256,16,25.6,41,2,0,0,2024-04-07 19:03:38.405429,SmartPlanter1
257,17,26.8,37,1,0,0,2024-04-07 19:14:41.451073,SmartPlanter1
258,17,26.8,36,1,0,0,2024-04-07 19:16:45.810165,SmartPlanter1
259,16,26.9,37,1,0,0,2024-04-07 19:21:13.628636,SmartPlanter1
260,17,26.6,37,1,0,0,2024-04-07 19:26:23.073965,SmartPlanter1
261,17,26.7,36,1,0,0,2024-04-07 19:35:25.857803,SmartPlanter1
262,17,26.8,37,1,0,0,2024-04-07 19:38:08.033999,SmartPlanter1
263,16,26.8,36,1,0,0,2024-04-07 19:41:58.657332,SmartPlanter1
264,17,27,36,1,0,0,2024-04-07 19:50:17.803392,SmartPlanter1
265,17,27,36,1,0,0,2024-04-07 20:19:56.104864,SmartPlanter1
266,17,26.8,42,1,0,0,2024-04-07 20:21:18.390853,SmartPlanter1
267,17,26.5,42,1,0,0,2024-04-07 20:25:56.160358,SmartPlanter1
268,0,0,0,0,0,0,2024-04-07 20:36:11.988117,SmartPlanter1
269,9,9,9,9,0,0,2024-04-08 19:17:26.73141,SmartPlanter1
270,9,9,9,9,0,0,2024-04-08 19:28:06.42368,SmartPlanter1
271,9,9,9,9,0,0,2024-04-08 19:29:21.412595,SmartPlanter1
272,9,9,9,9,0,0,2024-04-08 19:32:50.611623,SmartPlanter1
273,9,9,9,9,0,0,2024-04-08 19:40:50.890001,SmartPlanter1
274,18,27.5,34,3,0,0,2024-04-08 19:49:38.808824,SmartPlanter1
275,18,27.4,34,2,0,0,2024-04-08 19:51:05.102927,SmartPlanter1
276,18,27.5,35,2,0,12500,2024-04-08 20:08:10.047693,SmartPlanter1
277,18,26.8,35,2,0,6250,2024-04-08 20:12:22.414886,SmartPlanter1
