id,soilmoisture,temperature,airhumidity,lightlevel,waterlevel,irrigationamount,timestamp,clientid
69,18,18.4,57,64,0,3466,2024-01-24 17:49:43.096873,SmartPlanter2Test
70,18,18.7,57,64,0,3466,2024-01-24 17:49:49.45887,SmartPlanter2Test
71,18,19.6,56,17,0,5460,2024-01-24 17:50:11.626997,SmartPlanter2Test
72,18,20.6,54,64,0,5460,2024-01-24 17:50:23.56819,SmartPlanter2Test
73,70,21.1,52,4,0,5460,2024-01-24 17:50:51.371287,SmartPlanter2Test
74,76,21.5,51,7,0,5460,2024-01-24 17:51:12.54769,SmartPlanter2Test
75,16,19.8,41,1,0,5466,2024-01-26 13:30:24.254853,SmartPlanter2Test
76,16,20.2,41,1,0,5466,2024-01-26 13:30:45.655488,SmartPlanter2Test
77,16,21.1,39,1,0,5466,2024-01-26 13:31:06.926335,SmartPlanter2Test
78,16,22,37,1,0,5466,2024-01-26 13:31:28.180464,SmartPlanter2Test
79,16,22.4,36,74,0,5466,2024-01-26 13:31:49.584066,SmartPlanter2Test
80,16,26,21,1,0,5466,2024-01-26 13:48:40.047261,SmartPlanter2Test
81,16,26,22,1,0,5466,2024-01-26 13:49:04.290509,SmartPlanter2Test
82,16,22.5,41,1,0,5466,2024-01-26 14:55:38.621168,SmartPlanter2Test
83,16,24.1,35,1,0,5472,2024-01-26 14:57:06.653163,SmartPlanter2Test
84,16,21.7,45,1,0,3571,2024-01-26 15:00:19.480204,SmartPlanter2Test
85,16,22,45,1,0,3571,2024-01-26 15:00:40.888291,SmartPlanter2Test
86,16,22.9,39,1,0,1155,2024-01-27 13:08:41.133632,SmartPlanter2Test
87,16,23.5,38,12,0,1155,2024-01-27 13:09:21.118691,SmartPlanter2Test
88,16,22.9,41,1,0,1161,2024-01-27 13:48:23.562643,SmartPlanter2Test
89,16,23.7,43,89,0,2304,2024-01-27 13:48:55.18273,SmartPlanter2Test
90,18,17.7,58,1,0,2287,2024-02-04 12:46:27.779818,SmartPlanter2Test
91,18,18,58,1,0,2293,2024-02-04 12:46:37.395587,SmartPlanter2Test
92,30,16.8,38,39,0,2158,2024-03-03 12:26:50.893026,SmartPlanter2Test
93,20,16.3,70,2,0,2158,2024-03-09 11:14:53.318217,SmartPlanter2Test
94,19,16.5,70,2,0,2158,2024-03-09 11:15:03.303357,SmartPlanter2Test
95,19,17.8,70,2,0,2164,2024-03-09 11:16:39.498311,SmartPlanter2Test
96,18,20.7,53,14,0,2193,2024-03-17 12:56:35.104867,SmartPlanter2Test
97,18,21,53,13,0,2193,2024-03-17 12:56:45.8631,SmartPlanter2Test
98,18,21.9,52,15,0,2193,2024-03-17 12:57:07.07963,SmartPlanter2Test
99,18,22.8,51,14,0,2193,2024-03-17 12:57:28.38631,SmartPlanter2Test
100,18,23.2,49,13,0,2193,2024-03-17 12:57:49.65426,SmartPlanter2Test
101,18,23.6,47,2,0,5472,2024-03-17 12:58:10.827833,SmartPlanter2Test
102,18,24,46,1,0,5472,2024-03-17 12:58:30.311962,SmartPlanter2Test
103,18,20.9,51,2,0,5472,2024-03-18 12:36:35.469924,SmartPlanter2Test
105,54,22.5,49,2,0,5472,2024-03-20 12:37:15,SmartPlanter2Test
104,60,21.3,51,2,0,5472,2024-03-20 12:36:50,SmartPlanter2Test
106,17,26.6,33,2,0,0,2024-03-23 17:34:10.391683,SmartPlanter2Test
107,17,27.6,31,11,0,0,2024-03-23 17:35:21.68057,SmartPlanter2Test
108,17,27.7,32,64,0,1155,2024-03-23 17:35:50.545572,SmartPlanter2Test
109,17,27.9,32,79,0,5495,2024-03-23 17:36:53.31624,SmartPlanter2Test
110,17,28.4,31,8,0,0,2024-03-23 18:06:09.726118,SmartPlanter2Test
111,16,28.7,30,8,0,0,2024-03-23 18:34:44.832051,SmartPlanter2Test
112,16,28.7,29,10,0,0,2024-03-23 19:03:19.639993,SmartPlanter2Test
