id,soilmoisture,temperature,airhumidity,lightlevel,waterlevel,irrigationamount,timestamp,clientid
145,20,17.1,64,1,0,0,2024-04-03 10:07:40.672242,SmartPlanter1
146,19,17.4,64,1,0,0,2024-04-03 10:36:53.156363,SmartPlanter1
147,17,26.1,38,1,0,0,2024-04-03 13:23:49.135032,SmartPlanter1
148,18,24.6,41,31,0,0,2024-04-03 13:36:19.366975,SmartPlanter1
149,18,24.6,41,8,0,0,2024-04-03 14:05:01.68526,SmartPlanter1
150,18,24.2,42,1,0,0,2024-04-03 14:33:33.926893,SmartPlanter1
151,18,23.9,43,9,0,0,2024-04-03 15:02:15.780877,SmartPlanter1
152,18,23.7,45,1,0,0,2024-04-03 15:30:47.241328,SmartPlanter1
153,18,23.7,47,2,0,0,2024-04-03 15:59:29.37773,SmartPlanter1
154,18,23.6,47,3,0,0,2024-04-03 16:28:10.539689,SmartPlanter1
155,19,23.5,47,5,0,0,2024-04-03 16:56:52.572417,SmartPlanter1
156,19,23.5,47,1,0,0,2024-04-03 17:25:23.600463,SmartPlanter1
157,19,23.4,47,1,0,0,2024-04-03 17:54:14.505084,SmartPlanter1
158,19,23.4,47,8,0,0,2024-04-03 18:22:53.986206,SmartPlanter1
159,19,18.8,62,1,0,0,2024-04-03 20:44:34.599166,SmartPlanter1
160,18,19.1,62,1,0,0,2024-04-03 21:13:49.029983,SmartPlanter1
161,18,21.5,58,1,0,0,2024-04-03 21:42:28.713234,SmartPlanter1
162,18,23.9,51,1,0,0,2024-04-03 22:11:10.198308,SmartPlanter1
163,18,24.3,48,1,0,0,2024-04-03 22:39:53.942029,SmartPlanter1
164,18,24.5,46,1,0,0,2024-04-03 23:08:36.863513,SmartPlanter1
165,18,24.6,45,1,0,0,2024-04-03 23:37:07.601215,SmartPlanter1
166,18,24.6,44,1,0,0,2024-04-04 00:05:48.986884,SmartPlanter1
167,18,24.5,43,1,0,0,2024-04-04 00:34:19.849067,SmartPlanter1
168,18,24.4,43,1,0,0,2024-04-04 01:03:01.748499,SmartPlanter1
169,18,24.3,43,1,0,0,2024-04-04 01:31:42.869483,SmartPlanter1
170,18,24.2,43,1,0,0,2024-04-04 02:00:27.002909,SmartPlanter1
171,18,24.1,44,1,0,0,2024-04-04 02:28:58.252318,SmartPlanter1
172,18,23.9,44,1,0,0,2024-04-04 02:57:33.632902,SmartPlanter1
173,18,23.8,44,1,0,0,2024-04-04 03:26:15.739211,SmartPlanter1
174,18,23.6,44,1,0,0,2024-04-04 03:54:57.55179,SmartPlanter1
175,18,23.4,45,1,0,0,2024-04-04 04:23:28.530772,SmartPlanter1
176,18,23.3,46,1,0,0,2024-04-04 04:52:08.582177,SmartPlanter1
177,18,23.3,46,1,0,0,2024-04-04 05:20:50.672617,SmartPlanter1
178,18,23.3,46,1,0,0,2024-04-04 05:49:21.748447,SmartPlanter1
179,18,23.2,46,1,0,0,2024-04-04 06:18:06.673898,SmartPlanter1
180,18,23.2,46,1,0,0,2024-04-04 06:46:37.745339,SmartPlanter1
181,19,23,46,1,0,0,2024-04-04 07:15:22.832536,SmartPlanter1
182,19,22.9,46,1,0,0,2024-04-04 07:43:54.230942,SmartPlanter1
183,19,22.8,46,1,0,0,2024-04-04 08:12:34.666676,SmartPlanter1
184,19,22.8,46,1,0,0,2024-04-04 08:41:14.747698,SmartPlanter1
185,19,22.8,46,1,0,0,2024-04-04 09:10:07.685386,SmartPlanter1
186,19,22.8,46,1,0,0,2024-04-04 09:38:39.901823,SmartPlanter1
